date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-03-2025,Meghalaya,East Khasi Hills,793121,11,61,37
09-03-2025,Karnataka,Bengaluru Urban,560043,14,33,39
09-03-2025,Uttar Pradesh,Kanpur Nagar,208001,29,82,12
09-03-2025,Uttar Pradesh,Aligarh,202133,62,29,15
09-03-2025,Karnataka,Bengaluru Urban,560016,14,16,21
09-03-2025,Bihar,Sitamarhi,843331,20,49,12
09-03-2025,Bihar,Sitamarhi,843330,23,24,42
09-03-2025,Uttar Pradesh,Bahraich,271865,26,60,14
09-03-2025,Uttar Pradesh,Firozabad,283204,28,26,10
09-03-2025,Bihar,Purbi Champaran,845418,30,48,10
09-03-2025,Uttar Pradesh,Maharajganj,273164,31,70,13
09-03-2025,Bihar,Sitamarhi,843317,35,94,16
09-03-2025,Maharashtra,Aurangabad,431001,42,46,12
09-03-2025,Bihar,Sitamarhi,843324,49,186,34
09-03-2025,Uttar Pradesh,Ghaziabad,201102,50,113,11
09-03-2025,Haryana,Faridabad,121004,80,60,10
09-03-2025,Karnataka,Bengaluru Urban,560068,14,17,35
09-03-2025,Bihar,Madhubani,847108,18,120,22
09-03-2025,Karnataka,Bengaluru Urban,560032,21,14,10
09-03-2025,Rajasthan,Sikar,332001,41,36,17
09-03-2025,Bihar,Bhagalpur,812005,13,40,18
09-03-2025,Punjab,Amritsar,143001,14,15,20
09-03-2025,Haryana,Gurugram,122001,18,19,13
09-03-2025,Uttar Pradesh,Gautam Buddha Nagar,201301,25,249,16
09-03-2025,Delhi,West Delhi,110018,29,11,15
09-03-2025,Madhya Pradesh,Bhind,477116,37,18,11
09-03-2025,Madhya Pradesh,Gwalior,475110,42,14,14
09-03-2025,Madhya Pradesh,Katni,483501,53,42,11
09-03-2025,Delhi,West Delhi,110059,93,42,42
09-03-2025,Bihar,Purbi Champaran,845304,18,72,12
09-03-2025,West Bengal,Coochbehar,736135,19,12,19
09-03-2025,Uttar Pradesh,Lucknow,226003,23,102,17
09-03-2025,West Bengal,Dinajpur Uttar,733129,26,18,27
15-03-2025,Assam,Marigaon,782104,10,11,46
15-03-2025,Assam,Kokrajhar,783350,10,16,18
15-03-2025,Uttar Pradesh,Agra,282005,10,66,17
15-03-2025,Uttarakhand,Haridwar,247667,17,15,28
15-03-2025,Uttar Pradesh,Ghaziabad,201001,33,125,16
15-03-2025,Uttar Pradesh,Ghaziabad,201206,14,30,13
15-03-2025,Assam,Nagaon,782124,19,15,22
15-03-2025,Delhi,West Delhi,110059,24,34,18
15-03-2025,Uttar Pradesh,Gautam Buddha Nagar,201301,43,132,24
15-03-2025,Uttar Pradesh,Maharajganj,273164,12,55,12
15-03-2025,Maharashtra,Parbhani,431401,17,14,37
15-03-2025,Uttar Pradesh,Ghaziabad,201102,19,146,30
